Time,Class,Score,Distance (m),Speed (m/s),Latitude,Longitude
2024-09-29 14:47:13,Human face,0.8623202,,,19.376697916666668,72.8228515625
2024-09-29 14:47:13,Human face,0.844299,,,19.376697916666668,72.822875
2024-09-29 14:47:13,Human face,0.83981854,,,19.376697916666668,72.8228828125
2024-09-29 14:47:13,Human face,0.8600875,,,19.3766875,72.822890625
2024-09-29 14:47:13,Human face,0.8456177,,,19.376697916666668,72.82290625
2024-09-29 14:47:13,Human face,0.82156074,,,19.376697916666668,72.8229140625
2024-09-29 14:47:13,Human face,0.8084449,,,19.376697916666668,72.82290625
2024-09-29 14:47:13,Human face,0.7991152,,,19.376635416666666,72.8228984375
2024-09-29 14:47:13,Human face,0.8260776,,,19.376625,72.822890625
2024-09-29 14:47:13,Man,0.30628943,,,19.37640625,72.82275
2024-09-29 14:47:13,Human face,0.8346796,,,19.376604166666667,72.8228828125
2024-09-29 14:47:13,Man,0.32990304,,,19.37640625,72.8227421875
2024-09-29 14:47:14,Human face,0.8212765,,,19.376583333333333,72.8228828125
2024-09-29 14:47:14,Human face,0.7998051,,,19.376572916666667,72.8228828125
2024-09-29 14:47:14,Human face,0.81408465,,,19.376552083333333,72.8228828125
2024-09-29 14:47:14,Human face,0.8220026,,,19.376541666666668,72.822875
2024-09-29 14:47:14,Human face,0.8353464,,,19.376541666666668,72.822859375
2024-09-29 14:47:14,Human face,0.85953707,,,19.37653125,72.8228515625
2024-09-29 14:47:14,Human face,0.85500115,,,19.376520833333334,72.82284375
2024-09-29 14:47:14,Human face,0.85246384,,,19.37653125,72.8228359375
2024-09-29 14:47:14,Human face,0.8597742,,,19.37653125,72.8228359375
2024-09-29 14:47:14,Human face,0.8595803,,,19.37653125,72.822828125
2024-09-29 14:47:15,Human face,0.8632896,,,19.37653125,72.8228359375
2024-09-29 14:47:15,Human face,0.8631538,,,19.37653125,72.822828125
2024-09-29 14:47:15,Human face,0.85457414,,,19.376520833333334,72.8228203125
2024-09-29 14:47:15,Human face,0.84662527,,,19.376510416666665,72.8228203125
2024-09-29 14:47:15,Human face,0.8386442,,,19.376510416666665,72.8228125
2024-09-29 14:47:15,Human face,0.85856646,,,19.37653125,72.8228125
2024-09-29 14:47:15,Human face,0.85962766,,,19.376510416666665,72.8228125
2024-09-29 14:47:15,Human face,0.84149593,,,19.376520833333334,72.8228125
2024-09-29 14:47:15,Human face,0.83396035,,,19.376520833333334,72.822796875
2024-09-29 14:47:15,Human face,0.8256379,,,19.376541666666668,72.8227578125
2024-09-29 14:47:15,Human face,0.7874747,,,19.37653125,72.822734375
2024-09-29 14:47:16,Human face,0.7264535,,,19.37653125,72.822703125
2024-09-29 14:47:16,Human face,0.79631877,,,19.376520833333334,72.8226875
2024-09-29 14:47:16,Human face,0.8213281,,,19.376510416666665,72.8226875
2024-09-29 14:47:16,Human face,0.7494174,,,19.37653125,72.8226875
2024-09-29 14:47:16,Human face,0.7339964,,,19.376520833333334,72.82271874999999
2024-09-29 14:47:16,Human face,0.7463786,,,19.376541666666668,72.8227421875
2024-09-29 14:47:16,Human face,0.7966773,,,19.376541666666668,72.8227734375
2024-09-29 14:47:16,Human face,0.82570374,,,19.376541666666668,72.8227734375
2024-09-29 14:47:16,Human face,0.82048905,,,19.376541666666668,72.822765625
2024-09-29 14:47:17,Human face,0.81233966,,,19.376541666666668,72.8227578125
2024-09-29 14:47:17,Human face,0.7978333,,,19.37653125,72.8227421875
2024-09-29 14:47:17,Human face,0.78485554,,,19.37653125,72.8227265625
2024-09-29 14:47:17,Human face,0.772226,,,19.376520833333334,72.8227109375
2024-09-29 14:47:17,Man,0.33666375,,,19.376427083333333,72.8226796875
2024-09-29 14:47:17,Human face,0.8033018,,,19.37653125,72.8226953125
2024-09-29 14:47:17,Human face,0.80390406,,,19.37653125,72.822703125
2024-09-29 14:47:17,Human face,0.8146287,,,19.376520833333334,72.8226953125
